open,high,low,pricetoearningratio,pricetosalesratio,close,closet1
1.722556053,1.707314029,1.652703129,1.76891933,1.873267946,2.12679447,1.780317745
1.902609102,1.822957143,1.680094755,1.645384732,1.746885576,1.765330317,1.680270599
1.743548785,1.799667905,1.790491306,1.863808224,1.969389748,1.664877865,1.856583193
1.419776262,1.672781711,1.523215445,1.627481167,1.729530251,1.841904728,1.666329603
1.048366384,1.313806212,1.106530719,1.254191838,1.349938134,1.650880392,1.365368105
0.882039352,0.850350373,0.947161262,0.680382582,0.766532195,1.348699653,0.902855067
0.856202143,0.82794452,0.821823825,0.57922744,0.662845251,0.884312905,0.820849209
0.806142551,0.817504517,0.899018405,0.649051343,0.734491594,0.801974829,0.877433251
0.854587317,0.8391876,0.840914958,0.555057628,0.637924784,0.858788101,0.801167803
0.83197976,0.844006064,0.879097223,0.563114232,0.646379942,0.782213691,0.807728272
0.843283539,0.790199893,0.801072593,0.535363706,0.618344417,0.788800737,0.78558669
1.139604028,1.081716908,1.181235152,0.920290352,1.009506751,0.766569456,1.095568833
1.08792961,1.094566143,1.15052333,0.991904612,1.082933127,1.077807383,1.153792992
0.841668713,0.806261436,0.91644944,0.638309204,0.722921377,1.136267417,0.868412606
0.810987028,0.813489131,0.86000609,0.537154063,0.620569458,0.849730913,0.787226807
0.780305342,0.782169121,0.861666189,0.593550292,0.677530526,0.768216218,0.832330029
0.787168351,0.864082993,0.807712987,0.527307102,0.610334266,0.81350216,0.779026221
0.767386738,0.762092191,0.839669884,0.521040854,0.60410415,0.75998241,0.77410587
0.699564064,0.662510621,0.762890328,0.466434981,0.548033098,0.755042126,0.729822707
0.635778455,0.658495236,0.720557815,0.475386764,0.557378274,0.710579565,0.737203234
0.591370752,0.531609041,0.588579984,0.281133084,0.359794569,0.717989992,0.580572045
0.622052438,0.630387534,0.708937126,0.383183404,0.463481513,0.560724267,0.662577903
0.642237757,0.578990595,0.610161265,0.314254679,0.394060211,0.643062343,0.607633979
0.605096769,0.600593371,0.678225303,0.357223235,0.437226021,0.587895832,0.642076439
0.441999388,0.536427505,0.524666191,0.246221132,0.32463891,0.622477824,0.552690054
0.297472501,0.368584374,0.31466373,-0.016961272,0.056743887,0.532729321,0.340294882
0.461377295,0.40391977,0.430870625,0.119105821,0.19558649,0.319473704,0.450182732
0.766579325,0.687406014,0.612651412,0.272181302,0.350449394,0.429806726,0.573191518
0.936136008,0.884963,0.702296732,0.544315489,0.627689592,0.55331384,0.792967217
1.066129465,1.006227653,1.084949439,0.814659319,0.902704748,0.773979883,1.011102799
1.114574232,1.064852287,1.048012247,0.80928825,0.896474631,0.992999165,1.006182448
0.982158536,1.102596915,1.048427271,0.931927669,1.021966984,0.988058881,1.105409536
1.024144001,0.976513798,1.055897715,0.769005228,0.85642388,1.087687952,0.974200163
1.095196325,1.02148612,1.040956828,0.908653035,0.997936534,0.955947031,1.086548188
1.316427426,1.342716991,1.112341064,1.032187633,1.123428887,1.068750195,1.185775276
1.14606333,1.18932925,1.205306581,1.096640467,1.189290122,1.168379267,1.238259025
1.17513019,1.117052304,1.092419882,0.804812358,0.892469556,1.221075635,1.002902213
1.274441962,1.204587716,1.244318896,1.072470654,1.164814663,0.984765358,1.218577619
1.324501554,1.264818505,1.257599684,1.138713844,1.232010923,1.201314497,1.271881427
1.408472483,1.366006229,1.260919881,1.155722231,1.249366248,1.254834247,1.285822423
1.493250824,1.421418554,1.515745002,1.356242158,1.453180069,1.268831719,1.447373963
1.399590942,1.387689313,1.503294263,1.350871089,1.447839969,1.431037729,1.44327367
1.412509547,1.337095451,1.431079978,1.284627898,1.380643709,1.426920825,1.389969862
1.113766819,1.275258508,1.214437122,1.239868986,1.335252858,1.373401076,1.353887285
1.11699647,1.185313864,1.208626778,1.093954932,1.186175063,1.337172322,1.235798849
1.077433244,1.06967075,1.153843527,0.930137313,1.019741943,1.218605493,1.103769418
1.140411441,1.08412614,1.09407998,0.87016037,0.9587758,1.086041191,1.055385962
1.030603303,1.062443056,1.121471606,0.942669808,1.032202176,1.037461726,1.113610121
0.96278063,1.024698428,1.05008737,0.922080709,1.011731792,1.09592176,1.09720895
0.903839497,0.855249144,0.808543037,0.660688661,0.745616803,1.079454145,0.886453895
0.932906357,0.98454457,0.942180967,0.690229543,0.77587737,0.86784529,0.910235594
1.147678156,1.081716908,1.035146483,0.726931851,0.812813063,0.891723332,0.939757703
1.26233077,1.2262708,1.226887861,1.041139415,1.132329054,0.921365039,1.193155803
1.158981935,1.200973869,1.226057812,1.107382606,1.199970322,1.175789694,1.246459611
1.050788622,1.041563049,1.110680965,0.929242135,1.018851926,1.229309443,1.10294936
0.831172347,0.910099315,0.888227765,0.687544008,0.773652329,1.08521781,0.908595477
1.097618563,1.024698428,0.768700672,0.468225338,0.55025814,0.89007657,0.731462824
1.045944146,1.12668923,1.140562739,1.051881554,1.14389927,0.712226326,1.202176448
0.992654902,1.171661552,1.070838601,0.952516769,1.042437368,1.184846882,1.121810707
0.868313335,0.937966093,0.93803072,0.823611101,0.911159907,1.104155568,1.017663268
0.78837947,0.815898362,0.856685893,0.577437084,0.661065218,0.999586211,0.819209092
0.867505922,0.800639896,0.801072593,0.493290329,0.576068624,0.800328068,0.751964288
1.047558971,1.004621499,0.895698208,0.653527235,0.738496669,0.732810845,0.880713485
0.225612764,0.239288949,0.252410035,0.378707513,0.312623684,0.862081625,0.299291953
0.290205786,0.248122798,0.229168656,0.239954885,0.173336073,0.278304666,0.191044221
0.289398373,0.240092026,0.317153877,0.320520927,0.2547726,0.169618406,0.254188731
0.601059705,0.542049045,0.160274568,0.431523029,0.366469694,0.233018725,0.341114941
0.568763194,0.537230582,0.638382939,0.735883633,0.672635435,0.320297085,0.578931928
0.443614214,0.530002887,0.533796733,0.659793482,0.596539008,0.559077505,0.519887711
0.345109855,0.417572082,0.376087375,0.591759936,0.528007723,0.499794091,0.466583903
0.297472501,0.256956647,0.29142235,0.401086969,0.336209127,0.446274341,0.317333242
0.419391831,0.36135668,0.400158803,0.409143573,0.34332926,0.296419043,0.323073652
0.337035727,0.33565821,0.380237621,0.479862655,0.414975604,0.302182708,0.378837635
0.233686892,0.232061254,0.273991316,0.381393048,0.315738743,0.3581726,0.301752129
0.203005206,0.293898197,0.265690824,0.326787175,0.261002717,0.280774809,0.259109083
0.13437512,0.16781508,0.162764716,0.27307648,0.20626669,0.237959009,0.216466037
-0.065055836,0.100356597,0.005885407,0.139694921,0.072319179,0.19514321,0.112318597
-0.035181563,-0.085154231,-0.045577647,-0.072462323,-0.141729834,0.090573853,-0.054153294
-0.12722662,-0.111655778,-0.082099814,-0.094841779,-0.163980252,-0.076572441,-0.071374524
-0.177286212,-0.103625006,-0.165934789,-0.144076583,-0.213376178,-0.093863437,-0.109917277
